,outcome,prediction
629,0,0.17712158
630,0,0.176024824
631,0,0.175513446
632,1,0.175378889
633,0,0.17418012
634,0,0.172973618
635,0,0.172372863
636,0,0.172119215
637,0,0.171659499
638,1,0.16973345
639,0,0.168915391
640,0,0.168915391
641,1,0.167807445
642,1,0.165933043
643,0,0.165305331
644,1,0.163109556
645,1,0.162090465
646,0,0.162090465
647,0,0.16166991
648,0,0.161466524
649,0,0.161297768
650,1,0.159796655
651,1,0.159525961
652,0,0.159149468
653,1,0.158692896
654,1,0.158572301
655,0,0.158491835
656,0,0.158270776
657,0,0.157263666
658,0,0.152914882
659,0,0.151327074
660,0,0.151178077
661,1,0.150692403
662,0,0.149979874
663,0,0.149784282
664,1,0.149683133
665,1,0.149444282
666,0,0.148852661
667,0,0.148565903
668,0,0.147665665
669,0,0.14739053
670,0,0.146937668
671,0,0.146754712
672,0,0.14641811
673,0,0.145632967
674,0,0.143559068
675,0,0.143271372
676,1,0.142575189
677,1,0.141893297
678,1,0.141799822
679,0,0.139805719
680,0,0.13744688
681,0,0.135847151
682,0,0.135775551
683,0,0.135240793
684,0,0.134562463
685,0,0.134457141
686,1,0.133537635
687,1,0.13228485
688,0,0.131241143
689,1,0.12972714
690,0,0.129170015
691,0,0.128491133
692,0,0.126617551
693,0,0.126392692
694,0,0.126183152
695,1,0.125942737
696,1,0.125539884
697,1,0.124128588
698,0,0.12380705
699,1,0.1230359
700,0,0.122899354
701,0,0.122887969
702,0,0.122856721
703,0,0.122824542
704,0,0.122746006
705,0,0.121524103
706,0,0.121524103
707,0,0.12063776
708,0,0.120586015
709,0,0.120482527
710,0,0.118772604
711,1,0.118603431
712,0,0.118405677
713,0,0.11754927
714,0,0.117136702
715,0,0.116691791
716,0,0.11665263
717,0,0.116323814
718,0,0.116276138
719,0,0.11626526
720,0,0.115344733
721,0,0.115302093
722,0,0.114303
723,0,0.11417003
724,0,0.113794267
725,1,0.113736629
726,0,0.112920821
727,0,0.112537988
728,0,0.112377234
729,0,0.111687131
730,0,0.110810302
731,0,0.109545805
732,1,0.109239914
733,0,0.108520381
734,0,0.108458802
735,0,0.108269036
736,0,0.108120471
737,0,0.108062826
738,0,0.1078844
739,0,0.107642576
740,0,0.10739921
741,0,0.106936261
742,0,0.10684339
743,0,0.106347695
744,0,0.106227636
745,0,0.106173679
746,0,0.105952598
747,0,0.10564965
748,0,0.105613776
749,1,0.105158344
750,0,0.105111159
751,0,0.105053931
752,0,0.10477908
753,0,0.104632191
754,1,0.104594916
755,0,0.104322903
756,0,0.103007205
757,0,0.10295476
758,0,0.10259445
759,0,0.102366604
760,0,0.102324456
761,0,0.102090307
762,0,0.101388425
763,0,0.100988485
764,0,0.100954548
765,1,0.100887664
766,0,0.100724071
767,0,0.100655198
768,0,0.100302704
769,0,0.100185119
770,0,0.100117564
771,0,0.099897452
772,0,0.09903267
773,0,0.098840795
774,0,0.098816216
775,0,0.098727055
776,0,0.09849783
777,0,0.098281518
778,0,0.097629137
779,0,0.097444825
780,1,0.097331189
781,0,0.096819028
782,0,0.096322469
783,0,0.096090242
784,0,0.096046843
785,0,0.096023083
786,0,0.095663242
787,0,0.095323101
788,0,0.095308959
789,0,0.09530405
790,0,0.095302828
791,0,0.095172971
792,0,0.09498731
793,0,0.094743855
794,0,0.094478391
795,0,0.094286226
796,0,0.094280809
797,0,0.094159596
798,0,0.09394861
799,0,0.09394861
800,0,0.09364143
801,0,0.093630776
802,0,0.09332779
803,1,0.092886195
804,0,0.092861779
805,1,0.092723809
806,0,0.092703052
807,0,0.092439577
808,0,0.092294745
809,0,0.092226572
810,0,0.091351695
811,0,0.090816841
812,0,0.09004657
813,0,0.089646347
814,0,0.089373924
815,0,0.089372493
816,0,0.089372493
817,0,0.089136288
818,0,0.088933185
819,0,0.088700615
820,0,0.088220589
821,0,0.088181153
822,0,0.088150084
823,0,0.087894246
824,0,0.087781146
825,0,0.087542631
826,0,0.086887725
827,0,0.086785823
828,0,0.086759858
829,0,0.086227328
830,0,0.086158745
831,0,0.08609692
832,1,0.086055361
833,0,0.085957497
834,0,0.085892558
835,1,0.085488215
836,0,0.084940135
837,0,0.084924392
838,0,0.084894948
839,0,0.08441221
840,0,0.084351107
841,0,0.084325574
842,0,0.084117174
843,0,0.083630815
844,0,0.083332963
845,0,0.083152145
846,0,0.083002962
847,0,0.082986742
848,0,0.082854047
849,0,0.082726896
850,0,0.08253298
851,0,0.08248923
852,0,0.081694081
853,0,0.081300415
854,1,0.081247404
855,0,0.081016019
856,0,0.080900393
857,0,0.080480978
858,0,0.080416955
859,0,0.080284521
860,0,0.080187753
861,0,0.07993111
862,0,0.079699084
863,0,0.079583906
864,0,0.07951913
865,0,0.07935331
866,0,0.079260461
867,0,0.079254657
868,0,0.07917323
869,0,0.079147503
870,0,0.078885406
871,0,0.078592166
872,0,0.078521013
873,0,0.078464285
874,0,0.07837861
875,0,0.078326374
876,0,0.078126028
877,0,0.078069858
878,0,0.078058884
879,0,0.078024946
